item_id,item_name,item_description,item_category,label,confidence_score,reasoning
128186884,Extra Rice Tahdig,,Extras,vegetarian,0.8,
129449249,Zereshk Rice,,Traditional Persian Rice Meals,vegetarian,0.7,
78807075,Saffron Rice,"Fragrant basmati rice, infused with the exotic essence of saffron",Traditional Persian Rice Meals,vegetarian,1,
100102071,Hummus,"Made with the freshest ingredients, including chickpeas, tahini and lemon juice, resulting in a creamy and flavorful dip that's perfect for any occasion.",Appetizers,vegetarian,1,
100102078,Green Salad,Healthy and delicious - made from a variety of fresh greens that can be topped with a dressing to add flavor and nutrition. it's a great option for a light lunch or as a side dish to complement any meal.,Appetizers,vegetarian,0.8,
1286575454,Pepsi,Carbonated soft drink,Drinks,vegetarian,1,
153628608,Safiha Shamia Tomato 1 KG,,Safiha And Lahm Bi Ajin,non-vegetarian,0.5,
539761082,Egg Sandwich,"Made with fluffy scrambled eggs, and melted cheddar cheese, served on toasted bread for a hearty and satisfying meal that's perfect for any time of day!",Ford Spacial,vegetarian,1,
539764706,Orange Juice,"Made capturing all the natural sweetness and tangy citrus flavor. Packed with Vitamin C, it's the perfect thirst quencher and a healthy addition to your daily diet.",Fresh Juices,vegetarian,1,
539764674,Watermelon Juice,Refreshing and hydrating beverage made from freshly squeezed watermelon. It is a natural source of vitamins and minerals,Fresh Juices,vegetarian,1,
728412202,Cappuccino,"Made with espresso and steamed milk creating rich, velvety taste.",Beverages,vegetarian,1,
728412166,Strawberry Milkshake,"Made with strawberries and creamy vanilla ice cream for a sweet and satisfying treat. Perfect for any time of the day, our milkshake is sure to be a hit with anyone who loves the taste of fresh strawberries.",Milkshake,vegetarian,0.9,
728412163,Chocolate Milkshake,"Satisfy your sweet tooth with our rich and creamy Chocolate Milkshake, made with chocolate ice cream and milk.",Milkshake,vegetarian,1,
1384900231,Spinach Manoucheh,"Thin flatbread topped with a generous amount of fresh spinach, herbs, and a touch of tangy lemon.",manakish,vegetarian,0.95,
1384900228,Akkawi Cheese Manoucheh,"A traditional Lebanese flatbread topped with Akkawi cheese,",manakish,vegetarian,0.9,
1381881298,Falafel Sandwich,"Made with deep-fried balls of ground chickpeas and spices, served in a bread with various toppings such as tahini, tomatoes, and parsley, it's a perfect meal for vegetarians.",Al Kofiya Sandwiches,vegetarian,0.8,
1847631746,Vegan NoChicken Nuggets Six PCS,"6pcs of vegan NoChicken nuggets served with BBQ sauce
",Vegan Starters,vegetarian,1,
1847631745,Vegan NoChicken Nuggets Nine PCS,"9pcs of vegan NoChicken nuggets served with BBQ sauce
",Vegan Starters,vegetarian,1,
669163509,Passion Fruit Mojito,"Made with passion fruit, lime, mint and a splash of soda water and will transport you to a tropical paradise.",Drinks,vegetarian,1,
741900450,Pepsi,Carbonated soft drink,Drinks,vegetarian,1,
741900541,Mountain Dew,"The original citrus-flavored soft drink with a bold and daring taste. With high caffeine content and a unique combination of flavors, it's the perfect choice for those who want to fuel their adrenaline and thirst in one shot.",Drinks,vegetarian,0.8,
741900453,7 Up,Non-caffeinated soft drink,Drinks,vegetarian,1,
968403498,Fruit Salad,"Made with a mix of fresh and seasonal fruits, it's a healthy and delicious option for breakfast, lunch, or a snack and a great way to get your daily dose of vitamins and nutrients.",Desserts,vegetarian,1,
271666701,Apple Juice,Made with a blend of juicy apples,Beverages,vegetarian,1,
271666695,Avocado Juice,"Made from freshly pressed avocados, it's packed with healthy fats, vitamins and minerals, making it a nutritious and delicious drink option.",Beverages,vegetarian,0.99,
1182451736,Chocolate Milkshake,"Satisfy your sweet tooth with our rich and creamy Chocolate Milkshake, made with chocolate ice cream and milk.",Beverages,vegetarian,1,
271666704,Pineapple Juice,"A sweet, tropical drink made by blending the flesh of a pineapple. It is a rich source of vitamin C and contains enzymes that can aid digestion.",Beverages,vegetarian,1,
271666716,Pepsi,Carbonated soft drink,Beverages,vegetarian,1,
1182461676,Oreo Milkshake,"Made with vanilla ice cream, milk and crushed Oreo cookies for a creamy and delicious treat.",Beverages,vegetarian,1,
271666700,Orange Juice,"Made capturing all the natural sweetness and tangy citrus flavor. Packed with Vitamin C, it's the perfect thirst quencher and a healthy addition to your daily diet.",Beverages,vegetarian,1,
1182436609,Strawberry Mojito,"Made with fresh strawberries, mint leaves, lime juice and a splash of soda. A perfect balance of sweet and tangy, it's a great way to quench your thirst.",Beverages,vegetarian,1,
1258394144,Cappuccino,"Made with espresso and steamed milk creating rich, velvety taste.",Beverages,vegetarian,1,
1258394043,Espresso,Experience the bold and intense flavor of our freshly brewed espresso.,Beverages,vegetarian,1,
271666714,7 Up,Non-caffeinated soft drink,Beverages,vegetarian,1,
271666705,Watermelon Juice,Refreshing and hydrating beverage made from freshly squeezed watermelon. It is a natural source of vitamins and minerals,Beverages,vegetarian,1,
271666710,Mineral Water,Stay hydrated and refreshed with our mineral water.,Beverages,vegetarian,1,
271666719,Mountain Dew,"The original citrus-flavored soft drink with a bold and daring taste. With high caffeine content and a unique combination of flavors, it's the perfect choice for those who want to fuel their adrenaline and thirst in one shot.",Beverages,vegetarian,0.8,
1182451079,Strawberry Milkshake,"Made with strawberries and creamy vanilla ice cream for a sweet and satisfying treat. Perfect for any time of the day, our milkshake is sure to be a hit with anyone who loves the taste of fresh strawberries.",Beverages,vegetarian,0.9,
271666492,Falafel Sandwich,"Made with deep-fried balls of ground chickpeas and spices, served in a bread with various toppings such as tahini, tomatoes, and parsley, it's a perfect meal for vegetarians.",Sandwiches,vegetarian,0.8,
733358933,Mineral Water Small,"Quench your thirst with the crisp and refreshing taste of our premium Mineral Water Small, to deliver pure hydration in every sip.",Drinks,vegetarian,1,
733354555,Sprite,Non-caffeinated soft drink,Drinks,vegetarian,0.8,
1663418727,Makhni Dal Chana,,Best Sellers - 30% Off,vegetarian,0.9,
81666167,Mirinda,Carbonated soft drink,Drinks,vegetarian,0.9,
81666165,Pepsi,Carbonated soft drink,Drinks,vegetarian,1,
81666168,Mountain Dew,"The original citrus-flavored soft drink with a bold and daring taste. With high caffeine content and a unique combination of flavors, it's the perfect choice for those who want to fuel their adrenaline and thirst in one shot.",Drinks,vegetarian,0.8,
81666169,7 Up,Non-caffeinated soft drink,Drinks,vegetarian,1,
81666161,Orange Juice,"Made capturing all the natural sweetness and tangy citrus flavor. Packed with Vitamin C, it's the perfect thirst quencher and a healthy addition to your daily diet.",Drinks,vegetarian,1,
875552459,Orange Juice,"Made capturing all the natural sweetness and tangy citrus flavor. Packed with Vitamin C, it's the perfect thirst quencher and a healthy addition to your daily diet.",Beverages,vegetarian,1,
182915064,Sprite,Non-caffeinated soft drink,Beverages,vegetarian,0.8,
181798728,Pomegranate Juice,"Made from carefully selected, ripe pomegranates, it's a perfect balance of sweet and tangy that's packed with antioxidants, making it a healthy and delicious drink option.",Beverages,vegetarian,1,
182906264,Mountain Dew,"The original citrus-flavored soft drink with a bold and daring taste. With high caffeine content and a unique combination of flavors, it's the perfect choice for those who want to fuel their adrenaline and thirst in one shot.",Beverages,vegetarian,0.8,
181798736,Oreo Milkshake,"Made with vanilla ice cream, milk and crushed Oreo cookies for a creamy and delicious treat.",Milkshake,vegetarian,1,
181798737,Lotus Milkshake,"Made with Lotus Biscoff cookies, milk, and a touch of vanilla, it's a perfect blend of flavors that will satisfy your sweet tooth and give you a taste of something new.",Milkshake,vegetarian,1,
277659077,Vegetable Pizza,"Discover the ultimate combination of fresh, crispy veggies, tangy tomato sauce, and melted mozzarella cheese on our delicious Vegetable Pizza, perfect for satisfying your hunger and your love for all things fresh and flavorful.",Pizza,vegetarian,0.95,
278559039,7 Up,Non-caffeinated soft drink,Drinks,vegetarian,1,
382396866,Mountain Dew,"The original citrus-flavored soft drink with a bold and daring taste. With high caffeine content and a unique combination of flavors, it's the perfect choice for those who want to fuel their adrenaline and thirst in one shot.",Drinks,vegetarian,0.8,
278559034,Pepsi,Carbonated soft drink,Drinks,vegetarian,1,
1226475299,Sprite,Non-caffeinated soft drink,Drinks,vegetarian,0.8,
1115279341,Coca-Cola,Carbonated soft drink,Drinks,vegetarian,0.9,
1478864473,Kofta With Tahini,,Sawani Kufta,non-vegetarian,0.7,
1310240127,Tahini Sauce,"Made from roasted sesame seeds, this versatile condiment adds a nutty, savory flavor to salads, sandwiches, and more.",Sauce,vegetarian,1,
1310240114,Mineral Water,Stay hydrated and refreshed with our mineral water.,Beverages,vegetarian,1,
1310240115,Lemon Mint Juice,"Made with a blend of fresh lemons, mint, and a touch of sweetness, it's a perfect thirst quencher and great to enjoy anytime of the day.",Beverages,vegetarian,1,
1310240113,Orange Juice,"Made capturing all the natural sweetness and tangy citrus flavor. Packed with Vitamin C, it's the perfect thirst quencher and a healthy addition to your daily diet.",Beverages,vegetarian,1,
1310240112,Pepsi,Carbonated soft drink,Beverages,vegetarian,1,
1310240128,Mountain Dew,"The original citrus-flavored soft drink with a bold and daring taste. With high caffeine content and a unique combination of flavors, it's the perfect choice for those who want to fuel their adrenaline and thirst in one shot.",Beverages,vegetarian,0.8,
1310240111,Watermelon Juice,Refreshing and hydrating beverage made from freshly squeezed watermelon. It is a natural source of vitamins and minerals,Beverages,vegetarian,1,
1310240118,7 Up,Non-caffeinated soft drink,Beverages,vegetarian,1,
1310240116,Avocado Juice,"Made from freshly pressed avocados, it's packed with healthy fats, vitamins and minerals, making it a nutritious and delicious drink option.",Beverages,vegetarian,0.99,
1310239929,Onion Rings,"Made with fresh onions, coated in a crispy batter, it's a perfect snack or side dish for any meal.",Side Dishes,vegetarian,0.7,
1429862213,Hot Chocolate,"Made with rich cocoa powder, it's the perfect treat when you just want to indulge in something sweet.",Coffee And More,vegetarian,0.7,
1429862209,Cappuccino,"Made with espresso and steamed milk creating rich, velvety taste.",Coffee And More,vegetarian,1,
1429862289,Plain Croissant,"Made with layers of flaky, buttery pastry dough, the croissant has a light and delicate texture that is perfect for breakfast or as a snack.",All Days Breakfast,vegetarian,0.9,
1429862287,Egg Sandwich,"Made with fluffy scrambled eggs, and melted cheddar cheese, served on toasted bread for a hearty and satisfying meal that's perfect for any time of day!",All Days Breakfast,vegetarian,1,
1429862247,Iced Tea,Freshly brewed and sweetened to perfection for the ultimate drink for hot summer days,Iced Coffee And More,vegetarian,0.95,
1810996971,Ice Cream Dragon Sauce,Fresh Mango ice cream With the dragon fruit from Just Fresh,New Items,vegetarian,0.85,
1663557273,Just Mango Ice Cream,Soft Ice Cream of Fresh Yellow Mango from Just Fresh,Best Sellers - 30% Off,vegetarian,0.8,
1692233651,Sweet & Sour Chicken,Fried chicken nuggets coated with a tangy sweet and sour sauce mixed with fresh vegetables,Best Sellers - 30% OFF,non-vegetarian,1,
92257432,Vegetable Pizza,"Discover the ultimate combination of fresh, crispy veggies, tangy tomato sauce, and melted mozzarella cheese on our delicious Vegetable Pizza, perfect for satisfying your hunger and your love for all things fresh and flavorful.",Pizza,vegetarian,0.95,
402088793,Mountain Dew,"The original citrus-flavored soft drink with a bold and daring taste. With high caffeine content and a unique combination of flavors, it's the perfect choice for those who want to fuel their adrenaline and thirst in one shot.",Drinks,vegetarian,0.8,
402086119,Pepsi,Carbonated soft drink,Drinks,vegetarian,1,
92257500,Zaatar Manoucheh,"Thin flatbread, topped with a generous amount of zaatar spice blend, olive oil, and herbs",Manakish,vegetarian,1,
92257490,Labneh Manoucheh,"Soft and fluffy flatbread topped with creamy labneh, herbs, and a drizzle of olive oil, creating a harmonious blend of flavors.",Manakish,vegetarian,0.95,
92257502,Spinach Manoucheh,"Thin flatbread topped with a generous amount of fresh spinach, herbs, and a touch of tangy lemon.",Manakish,vegetarian,0.95,
