feature,importance,pct_of_total,method,model_type,rank
meta::locale_ru-RU,0.9585371393036868,13.94420001208859,shap_mean_abs,LGBMClassifier,1
meta::country_Singapore,0.31275914445866576,4.549824818587047,shap_mean_abs,LGBMClassifier,2
time::hour,0.270804020987785,3.9394878694785134,shap_mean_abs,LGBMClassifier,3
tfidf::lenta.ru,0.2524218392176671,3.6720753627004292,shap_mean_abs,LGBMClassifier,4
time::hour_sin,0.22909057146624645,3.3326666421392863,shap_mean_abs,LGBMClassifier,5
meta::gender_f,0.22660555274315064,3.2965161408307977,shap_mean_abs,LGBMClassifier,6
tfidf::slack.com,0.20554181703717597,2.9900940611404394,shap_mean_abs,LGBMClassifier,7
meta::city_Toronto,0.19750493633512525,2.873178537069979,shap_mean_abs,LGBMClassifier,8
tfidf::toptal.com,0.19148819778081289,2.7856507800519017,shap_mean_abs,LGBMClassifier,9
meta::os_Windows 8,0.18775591449461315,2.7313558523849877,shap_mean_abs,LGBMClassifier,10
time::hour_cos,0.17272229891697174,2.5126561964991803,shap_mean_abs,LGBMClassifier,11
tfidf::youtube.com,0.15987346793595486,2.3257394232472093,shap_mean_abs,LGBMClassifier,12
meta::country_Canada,0.1295682028937834,1.8848773430628427,shap_mean_abs,LGBMClassifier,13
tfidf::aaplimg.com,0.1277446774007282,1.8583498323804966,shap_mean_abs,LGBMClassifier,14
len::median_length,0.11810730180557175,1.7181513075866583,shap_mean_abs,LGBMClassifier,15
len::max_length,0.11691067617193325,1.7007435447667756,shap_mean_abs,LGBMClassifier,16
len::std_length,0.11657833996613565,1.6959089250792516,shap_mean_abs,LGBMClassifier,17
meta::city_Chicago,0.11253132566735609,1.6370354870871056,shap_mean_abs,LGBMClassifier,18
len::mean_length,0.10699506912310572,1.5564974824487656,shap_mean_abs,LGBMClassifier,19
time::month,0.10176626969187395,1.4804321719849936,shap_mean_abs,LGBMClassifier,20
tfidf::microsoft.com,0.09498670175983744,1.3818072493152962,shap_mean_abs,LGBMClassifier,21
meta::city_Singapore,0.09191908294329564,1.3371814454890836,shap_mean_abs,LGBMClassifier,22
tfidf::mail.google.com,0.08852728508221105,1.2878396872658238,shap_mean_abs,LGBMClassifier,23
meta::gender_m,0.08218896496449415,1.1956337623850273,shap_mean_abs,LGBMClassifier,24
tfidf::yahoo.com,0.0813226816270636,1.1830316131004974,shap_mean_abs,LGBMClassifier,25
len::total_length,0.07292953430842394,1.060933344662975,shap_mean_abs,LGBMClassifier,26
tfidf::verisign.com,0.0703710269921493,1.0237137771703244,shap_mean_abs,LGBMClassifier,27
tfidf::vk.com,0.06632946904621956,0.9649197147937436,shap_mean_abs,LGBMClassifier,28
len::min_length,0.06260507633716948,0.9107395743181383,shap_mean_abs,LGBMClassifier,29
tfidf::live.com,0.06062555838558911,0.8819427827150417,shap_mean_abs,LGBMClassifier,30
tfidf::amazonaws.com,0.059400125379179734,0.8641159482167975,shap_mean_abs,LGBMClassifier,31
tfidf::wikipedia.org,0.05933858718946906,0.8632207290432025,shap_mean_abs,LGBMClassifier,32
time::dow,0.05869253523432155,0.8538223684462183,shap_mean_abs,LGBMClassifier,33
tfidf::amazon.com,0.05692158392834551,0.8280596742222486,shap_mean_abs,LGBMClassifier,34
meta::os_Ubuntu,0.04916558876389433,0.7152302976323508,shap_mean_abs,LGBMClassifier,35
tfidf::twitter.com,0.0471429691046585,0.6858064892890923,shap_mean_abs,LGBMClassifier,36
tfidf::doubleclick.net,0.04644564814722589,0.6756622992474576,shap_mean_abs,LGBMClassifier,37
meta::browser_Safari,0.04634223986587547,0.6741579801147591,shap_mean_abs,LGBMClassifier,38
tfidf::bing.com,0.045773087922711495,0.6658783128934008,shap_mean_abs,LGBMClassifier,39
tfidf::facebook.com,0.045318055696680196,0.6592587880867401,shap_mean_abs,LGBMClassifier,40
tfidf::lencr.org,0.045016823628978624,0.6548766519859552,shap_mean_abs,LGBMClassifier,41
meta::os_Windows 10,0.03848013933431186,0.559785048871938,shap_mean_abs,LGBMClassifier,42
meta::country_UK,0.03749060102950828,0.5453898632541667,shap_mean_abs,LGBMClassifier,43
tfidf::googlesyndication.com,0.03684556813464442,0.5360063273101217,shap_mean_abs,LGBMClassifier,44
tfidf::googleapis.com,0.03681848526469844,0.5356123426224731,shap_mean_abs,LGBMClassifier,45
len::n_visits,0.0361611423082704,0.5260497275863685,shap_mean_abs,LGBMClassifier,46
